"","NUTS1.Regions","2010","2011","2012","2013","2014","2015","2016","2017"
"1","West Midlands","7.8",8.2,8.5,9,7.3,9,8.9,"7.9"
"2","East of England","8.8",10.3,9.8,8.9,9,9.8,9.5,"9.7"
"3","East Midlands","7.7",9,8.7,8,7.1,8.1,7.3,"7.5"
"4","London","11.4",11.2,12.1,12.3,11.4,12.9,12.1,"12.1"
"5","North West","12.3",13.9,14.2,13.9,12.7,13.7,12,"13.7"
"6","North East","3.6",4.3,4.3,3.9,3.7,3.8,3.3,"3.6"
"7","South East","16.2",16.9,17.9,18,16.2,16.9,18.4,"16.1"
"8","South West","19.1",20.2,19.7,19.4,17.3,19.9,20.4,"20.6"
"9","Yorkshire & the Humber","10.0",11.7,11.2,10.1,9.5,11.4,9.3,"10.7"
"10","Scotland","12.1",13.4,12.8,12.1,12.5,12,11.5,"N/A"
"11","Wales","8.7",9.7,9.6,9.9,10,10.4,9.3,"9.0"
"12","Northern Ireland","N/A",2,2,2,2.3,2.2,2,"2.2"
"13","","",NA,NA,NA,NA,NA,NA,""
"14","","",NA,NA,NA,NA,NA,NA,""
