,Month,Visits,Spend
1,01/01/2016,124.8,4392.3
2,01/02/2016,124.5,4254.2
3,01/03/2016,159.1,5257.2
4,01/04/2016,146,4534
5,01/05/2016,164.8,5051.7
6,01/06/2016,153.3,4825.5
7,01/07/2016,174.9,5225.9
8,01/08/2016,190.4,7343.8
9,01/09/2016,150.9,5574
10,01/10/2016,150.8,5057.5
11,01/11/2016,144.3,5993.2
12,01/12/2016,150.3,6394.6
13,01/01/2017,,
14,01/02/2017,,
15,01/03/2017,,
16,01/04/2017,,
17,01/05/2017,,
18,01/06/2017,,
19,01/07/2017,,
20,01/08/2017,,
21,01/09/2017,,
22,01/10/2017,,
23,01/11/2017,,
24,01/12/2017,,
25,01/01/2018,,
26,01/02/2018,,
