Month,Organisation,Statistic,Release Date
Nov-17,Ofcom,ICMR consumer research data: 2017,01/11/2017
Nov-17,VisitEngland,Great Britain Day Visits Survey: September 2017,01/11/2017
Nov-17,British Film Institute,British film and other screen sectors certification: Q3 2017,02/11/2017
Nov-17,British Film Institute,Film and other screen sectors production in the UK: Q3 2017,02/11/2017
Nov-17,British Film Institute,The UK box office: Q3 2017,02/11/2017
Nov-17,DCMS ,Museum and galleries monthly visits ,02/11/2017
Nov-17,Ofcom,"Telecommunications data revenues, volumes and market share: Q2 2017",02/11/2017
Nov-17,VisitEngland,Great Britain Tourism Survey: July 2017,03/11/2017
Nov-17,DCMS ,Sponsored Museums Annual Performance Indicators 2016/17,07/11/2017
Nov-17,DCMS ,Charitable Giving Indicators: 2016/17,07/11/2017
Nov-17,Gambling Commission,Welsh problem gambling survey,14/11/2017
Nov-17,Gambling Commission,Scottish Health survey,14/11/2017
Nov-17,Gambling Commission,"National Lottery Distribution Fund (July, August, September)",15/11/2017
Nov-17,Ofcom,Fixed broadband speeds: August 2017 data,17/11/2017
Nov-17,Ofcom,Post volumes and revenues: 2016/17,21/11/2017
Nov-17,DCMS,Treasure Report: 2015 and 2016,22/11/2017
Nov-17,VisitEngland,Accommodation Occupancy Survey: England Occupancy: September 2017,22/11/2017
Nov-17,DCMS,Broadband Performance Indicator (September 2017),28/11/2017
Nov-17,Arts Council England,Museums Accreditation Statistics ,29/11/2017
Nov-17,DCMS,DCMS Sectors Economic Estimates: GVA,29/11/2017
Nov-17,VisitEngland,Accommodation Occupancy Survey: UK Occupancy August 2017,29/11/2017
Nov-17,VisitEngland ,Great Britain Day Visits Survey: October 2017,29/11/2017
Nov-17,Gambling Commission,Young Persons Omnibus,30/11/2017
Nov-17,Gambling Commission,Gambling industry statistics,30/11/2017
Nov-17,Gambling Commission,Drop and win summary report,30/11/2017
Nov-17,DCMS,School games indicators,
Dec-17,VisitEngland,Great Britain Tourism Survey: August 2017,01/12/2017
Dec-17,DCMS,Museum and galleries monthly visits ,07/12/2017
Dec-17,Ofcom,Affordability of Communication Services Research,08/12/2017
Dec-17,Ofcom,Telecoms and Pay TV Complaints publication: Q3 2017,20/12/2017
Dec-17,VisitEngland,Accommodation Occupancy Survey: England Occupancy: October 2017,20/12/2017
Dec-17,DCMS,Taking Part 2017/18: Quarter 2 release ,
Dec-17,DCMS,Exports of Objects of Cultural Interest,
Dec-17,Sport England,Playing Field Statistics,
Jan-18,DCMS,Museum and galleries monthly visits ,11/01/2018
Jan-18,British Film Institute,The UK box office in 2017,31/01/2018
Jan-18,British Film Institute,Film and other screen sectors production in the UK - full year 2017 report,31/01/2018
Jan-18,British Film Institute,British film and other screen sectors certification: full year 2017 report,31/01/2018
Jan-18,DCMS,Entertainment Licensing Statistics,
Jan-18,Gambling Commission,Drop and win summary report: December 2017,
Jan-18,Gambling Commission,Drop and win summary report: January 2018,
Jan-18,Ofcom,Disabled consumers' access and use of communications services and devices: 2017,
Jan-18,Ofcom,"Telecommunications data revenues, volumes and market share: Q3 2017",
Jan-18,Ofcom,Consumer issues survey: experience of nuisance calls,
